AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,SexuponOutcome1,AgeuponOutcome,Breed,Breed1,Breed2,year,month,date,Color,Color1,Color2
A693292,,2014-12-09 17:51:00,Adoption,,Dog,Spayed,Female,2 months,Labrador Retriever Mix,,,2014,12,9,Black,White,
A719261,,2016-01-20 11:36:00,Transfer,Partner,Dog,Intact,Female,2 months,Labrador Retriever Mix,,,2016,1,20,Black,,
A720352,Riley,2016-02-07 18:45:00,Return_to_owner,,Dog,Spayed,Female,6 years,Australian Cattle Dog Mix,,,2016,2,7,Black,White,
A670551,Judah,2014-01-16 17:49:00,Return_to_owner,,Dog,Neutered,Male,9 months,Labrador Retriever Mix,,,2014,1,16,Black,,
A609629,Joey,2015-03-24 16:44:00,Return_to_owner,,Dog,Intact,Male,11 years,Rottweiler Mix,,,2015,3,24,Tan,,
A717496,Walter,2015-12-18 16:13:00,Adoption,,Dog,Neutered,Male,3 years,Staffordshire Mix,,,2015,12,18,White,Chocolate,
A716259,Maddy,2015-11-21 19:43:00,Adoption,,Dog,Spayed,Female,5 months,Dachshund Mix,,,2015,11,21,Brown Merle,White,
A682428,,2014-07-08 14:50:00,Transfer,Partner,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2014,7,8,Brown Tabby,,
A694061,Kiki,2014-12-28 18:14:00,Return_to_owner,,Cat,Neutered,Male,1 year,Domestic Shorthair Mix,,,2014,12,28,Orange Tabby,White,
A694681,Miss,2015-01-25 17:25:00,Adoption,Foster,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2015,1,25,White,Blue,
A687769,Rose,2014-11-22 15:08:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2014,11,22,Brown Tabby,,
A671150,,2014-01-23 17:08:00,Adoption,,Dog,Neutered,Male,1 year,Tibetan Terrier Mix,,,2014,1,23,Black,White,
A593205,Nigel,2014-04-30 16:43:00,Adoption,,Dog,Neutered,Male,6 years,Dachshund Mix,,,2014,4,30,Red,,
A692533,Sadie,2014-12-04 17:19:00,Transfer,Partner,Dog,Spayed,Female,1 year,Blue Lacy Mix,,,2014,12,4,Black Brindle,White,
A677625,Camelot,2014-05-30 19:26:00,Adoption,,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2014,5,30,Brown Tabby,,
A668896,Sofie,2013-12-11 18:37:00,Return_to_owner,,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2013,12,11,Black,White,
A670319,Rocco,2014-01-06 12:55:00,Return_to_owner,,Dog,Neutered,Male,3 years,Miniature Schnauzer Mix,,,2014,1,6,Silver,Tan,
A688941,,2014-09-27 09:00:00,Transfer,SCRP,Cat,Intact,Male,4 months,Domestic Shorthair Mix,,,2014,9,27,Brown Tabby,,
A690002,,2014-10-14 14:07:00,Euthanasia,Medical,Cat,Intact,Male,8 years,Domestic Shorthair Mix,,,2014,10,14,Brown Tabby,White,
A701538,,2015-05-12 12:02:00,Transfer,Partner,Dog,Spayed,Female,3 years,Chihuahua Shorthair Mix,,,2015,5,12,Tricolor,,
A672982,King,2014-03-27 13:52:00,Euthanasia,Aggressive,Dog,Neutered,Male,3 years,Pit Bull Mix,,,2014,3,27,White,Red,
A696502,Buddy,2015-02-08 14:37:00,Euthanasia,Medical,Dog,Intact,Male,4 years,Plott Hound Mix,,,2015,2,8,Black,Brown Brindle,
A689464,Sonny,2014-10-19 12:26:00,Adoption,,Cat,Neutered,Male,5 years,Domestic Shorthair Mix,,,2014,10,19,Brown Tabby,,
A704402,Eclair,2015-07-01 15:30:00,Adoption,,Cat,Intact,Female,2 months,Domestic Shorthair Mix,,,2015,7,1,White,Cream Tabby,
A680762,Bello,2014-07-29 13:20:00,Adoption,Foster,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2014,7,29,Brown Tabby,,
A690963,Gunnar,2014-11-02 16:37:00,Transfer,Partner,Dog,Neutered,Male,2 months,Catahoula Mix,,,2014,11,2,Brown Brindle,White,
A699387,Javier,2015-03-27 15:00:00,Euthanasia,Suffering,Cat,Intact,Female,14 years,Domestic Shorthair Mix,,,2015,3,27,Blue Tabby,White,
A677886,,2014-05-04 17:32:00,Adoption,,Dog,Spayed,Female,1 year,Labrador Retriever Mix,,,2014,5,4,Black,,
A677264,Biscuit,2014-04-24 11:44:00,Return_to_owner,,Dog,Spayed,Female,3 years,Jack Russell Terrier Mix,,,2014,4,24,White,Brown,
A702917,,2015-05-23 16:22:00,Transfer,Partner,Dog,Spayed,Female,1 year,Chihuahua Shorthair Mix,,,2015,5,23,Tricolor,,
A676597,,2014-04-13 13:00:00,Transfer,SCRP,Cat,Unknown,,8 months,Domestic Shorthair Mix,,,2014,4,13,Brown Tabby,,
A683874,,2014-07-16 15:00:00,Transfer,Partner,Cat,Intact,Female,4 weeks,Domestic Shorthair Mix,,,2014,7,16,Blue Tabby,,
A703192,Aj,2015-07-18 18:53:00,Adoption,Foster,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2015,7,18,Brown Tabby,,
A636638,Stella,2014-08-01 18:26:00,Euthanasia,Suffering,Dog,Spayed,Female,6 years,Boston Terrier Mix,,,2014,8,1,White,Black,
A665906,Dolly,2013-11-25 13:55:00,Adoption,,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2013,11,25,Black,White,
A694439,Chico,2015-01-04 18:40:00,Return_to_owner,,Dog,Neutered,Male,2 years,Miniature Poodle Mix,,,2015,1,4,Buff,,
A718232,Wild Child,2015-12-28 14:29:00,Transfer,Partner,Cat,Neutered,Male,1 year,Domestic Shorthair Mix,,,2015,12,28,Orange Tabby,,
A702053,Diesel,2015-05-09 14:09:00,Return_to_owner,,Cat,Neutered,Male,4 years,Domestic Longhair Mix,,,2015,5,9,Black,White,
A664286,Sugar,2013-10-07 17:42:00,Adoption,,Dog,Spayed,Female,2 years,Chihuahua Shorthair Mix,,,2013,10,7,White,Brown,
A679129,Jon Snow,2014-07-07 12:37:00,Adoption,Foster,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2014,7,7,Blue,,
A717232,Tuck,2016-01-04 11:15:00,Transfer,Partner,Dog,Neutered,Male,3 years,Pit Bull Mix,,,2016,1,4,Black,White,
A670988,,2014-01-21 15:23:00,Transfer,SCRP,Cat,Intact,Male,2 years,Domestic Shorthair Mix,,,2014,1,21,Orange Tabby,,
A685528,Estrella,2015-08-04 17:41:00,Return_to_owner,,Dog,Spayed,Female,3 years,German Shepherd Mix,,,2015,8,4,Black,Brown,
A662736,,2014-04-17 14:19:00,Transfer,SCRP,Cat,Spayed,Female,1 year,Domestic Medium Hair Mix,,,2014,4,17,Black,White,
A642671,Panger,2013-11-26 15:23:00,Return_to_owner,,Cat,Spayed,Female,2 years,Domestic Medium Hair Mix,,,2013,11,26,Tortie,,
A287017,Stitch,2015-08-16 13:31:00,Return_to_owner,,Dog,Spayed,Female,14 years,Chihuahua Shorthair Mix,,,2015,8,16,Black,White,
A664573,,2013-10-10 14:02:00,Adoption,,Cat,Spayed,Female,3 months,Domestic Shorthair Mix,,,2013,10,10,Brown Tabby,,
A680192,Tootsie,2014-08-23 12:59:00,Adoption,Foster,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2014,8,23,Black Smoke,White,
A694923,Amos,2015-01-10 18:32:00,Euthanasia,Medical,Dog,Intact,Male,10 years,Pit Bull Mix,,,2015,1,10,Brown,White,
A718635,Joaquin,2016-01-10 00:00:00,Transfer,Partner,Dog,Neutered,Male,6 months,Pit Bull Mix,,,2016,1,10,Black Brindle,,
A668005,Apollo,2013-11-30 17:30:00,Adoption,,Dog,Neutered,Male,4 months,Pit Bull Mix,,,2013,11,30,White,Brown,
A624844,Coco,2014-06-23 12:32:00,Return_to_owner,,Dog,Neutered,Male,2 years,American Eskimo Mix,,,2014,6,23,White,Brown,
A701941,Bootsy,2015-05-06 17:28:00,Return_to_owner,,Dog,Neutered,Male,4 years,Queensland Heeler Mix,,,2015,5,6,Red,,
A698604,Pigeon,2015-04-08 15:32:00,Transfer,Partner,Cat,Spayed,Female,5 years,Domestic Medium Hair Mix,,,2015,4,8,Blue,,
A693820,,2014-12-15 12:17:00,Euthanasia,Suffering,Dog,Intact,Female,1 year,Pit Bull,Australian Cattle Dog,,2014,12,15,Black,White,
A664605,Diesel,2013-10-16 18:34:00,Return_to_owner,,Dog,Spayed,Female,3 years,Pointer Mix,,,2013,10,16,White,Brown,
A682191,Gunnar,2014-06-26 16:10:00,Transfer,Partner,Cat,Intact,Male,4 weeks,Siamese Mix,,,2014,6,26,Flame Point,,
A658891,White Cat,2015-03-18 16:39:00,Transfer,Partner,Cat,Neutered,Male,1 year,Domestic Medium Hair Mix,,,2015,3,18,White,,
A505682,Webster,2014-01-21 16:48:00,Return_to_owner,,Dog,Neutered,Male,5 years,Labrador Retriever Mix,,,2014,1,21,Black,,
A706397,Sally,2015-07-23 18:20:00,Adoption,,Cat,Spayed,Female,1 month,Domestic Shorthair,,,2015,7,23,Tortie,,
A683301,X,2014-07-18 13:03:00,Transfer,Partner,Dog,Neutered,Male,7 years,Australian Cattle Dog Mix,,,2014,7,18,Black,Blue Merle,
A666488,Shasta,2013-11-15 15:04:00,Return_to_owner,,Dog,Spayed,Female,9 years,Labrador Retriever Mix,,,2013,11,15,Brown,,
A699101,Oreo,2015-03-24 18:18:00,Return_to_owner,,Dog,Neutered,Male,1 year,Australian Shepherd,Australian Cattle Dog,,2015,3,24,Black,White,
A666047,,2013-10-29 12:43:00,Return_to_owner,,Dog,Neutered,Male,2 years,Chihuahua Shorthair Mix,,,2013,10,29,Brown,White,
A713587,Luna Bella,2015-11-03 10:17:00,Adoption,Foster,Dog,Spayed,Female,10 years,Labrador Retriever Mix,,,2015,11,3,Black,White,
A684256,,2014-07-25 16:59:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2014,7,25,Calico,,
A680856,Big Dog,2014-06-10 18:26:00,Return_to_owner,,Dog,Neutered,Male,2 years,Great Pyrenees Mix,,,2014,6,10,Cream,,
A700312,Julian,2015-05-30 14:21:00,Adoption,,Cat,Neutered,Male,3 years,Snowshoe Mix,,,2015,5,30,Lynx Point,,
A689177,,2014-10-22 15:56:00,Adoption,Foster,Dog,Neutered,Male,1 month,Golden Retriever Mix,,,2014,10,22,Brown,,
A667075,Shadow,2013-12-08 19:13:00,Adoption,,Cat,Neutered,Male,4 months,Domestic Shorthair Mix,,,2013,12,8,Black,,
A706077,,2015-06-30 15:25:00,Transfer,Partner,Cat,Intact,Female,2 years,Domestic Shorthair Mix,,,2015,6,30,Tortie,,
A713813,Leilo,2015-10-22 14:31:00,Transfer,Partner,Cat,Spayed,Female,8 years,Domestic Longhair Mix,,,2015,10,22,Brown Tabby,White,
A708424,,2015-07-29 15:49:00,Transfer,Partner,Dog,Intact,Male,3 months,Pit Bull Mix,,,2015,7,29,Tricolor,,
A699265,Cookie,2015-03-28 12:04:00,Adoption,,Dog,Spayed,Female,2 years,Italian Greyhound Mix,,,2015,3,28,Red,White,
A698574,,2015-03-15 10:22:00,Euthanasia,Suffering,Cat,Spayed,Female,2 years,Domestic Shorthair Mix,,,2015,3,15,Orange Tabby,,
A688327,Julio,2015-09-03 18:58:00,Transfer,Partner,Dog,Neutered,Male,4 years,American Bulldog Mix,,,2015,9,3,White,Tan,
A706800,,2015-07-19 17:42:00,Adoption,,Cat,Neutered,Male,3 months,Domestic Shorthair Mix,,,2015,7,19,Black,,
A714470,Crash,2015-10-28 14:07:00,Adoption,,Dog,Neutered,Male,1 year,Miniature Pinscher Mix,,,2015,10,28,Black,Brown,
A435237,Rusty,2016-02-16 16:23:00,Return_to_owner,,Dog,Neutered,Male,9 years,Labrador Retriever Mix,,,2016,2,16,Black,White,
A688215,,2014-09-16 17:56:00,Transfer,Partner,Cat,Intact,Male,1 month,Domestic Shorthair Mix,,,2014,9,16,Brown Tabby,White,
A482518,Gus,2014-06-28 12:53:00,Return_to_owner,,Dog,Neutered,Male,7 years,Australian Cattle Dog,Border Collie,,2014,6,28,Tricolor,,
A682885,,2014-07-04 14:56:00,Transfer,Partner,Cat,Intact,Female,3 weeks,Domestic Shorthair Mix,,,2014,7,4,Brown Tabby,,
A685426,,2014-08-07 13:25:00,Transfer,Partner,Cat,Intact,Female,2 weeks,Domestic Shorthair Mix,,,2014,8,7,Brown Tabby,,
A710210,Spunky,2015-09-17 18:41:00,Adoption,,Dog,Neutered,Male,2 years,Miniature Pinscher Mix,,,2015,9,17,Black,Brown,
A662329,Dexter,2015-04-07 13:01:00,Adoption,Foster,Dog,Neutered,Male,2 years,Pit Bull,Catahoula,,2015,4,7,White,Brown,
A671539,Daisy,2014-02-04 14:10:00,Transfer,Partner,Dog,Intact,Female,3 months,Border Collie Mix,,,2014,2,4,Black,White,
A717448,Tyson,2015-12-26 16:53:00,Adoption,,Dog,Neutered,Male,1 year,Black Mouth Cur Mix,,,2015,12,26,Tan,Black,
A673662,,2014-03-01 14:00:00,Transfer,SCRP,Cat,Unknown,,2 years,Domestic Shorthair Mix,,,2014,3,1,Brown Tabby,,
A717076,Puzzles,2015-12-23 16:22:00,Adoption,,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2015,12,23,Brown Tabby,White,
A693296,,2014-12-06 09:00:00,Transfer,SCRP,Cat,Intact,Male,6 months,Domestic Shorthair Mix,,,2014,12,6,Blue,White,
A485651,Bambi,2013-11-02 17:42:00,Return_to_owner,,Dog,Spayed,Female,6 years,Doberman Pinsch,,,2013,11,2,Red,Tan,
A673729,,2014-03-01 13:21:00,Transfer,Partner,Dog,Intact,Female,1 month,Plott Hound Mix,,,2014,3,1,Black,Brown Brindle,
A693157,Harly,2014-12-05 16:58:00,Return_to_owner,,Dog,Spayed,Female,2 years,Dachshund Mix,,,2014,12,5,Red,White,
A684283,Rocky,2014-07-31 18:59:00,Return_to_owner,,Dog,Neutered,Male,2 years,Border Collie Mix,,,2014,7,31,Black,White,
A712176,Petra,2015-09-26 09:32:00,Transfer,Partner,Dog,Spayed,Female,5 months,Labrador Retriever Mix,,,2015,9,26,Cream,,
A688365,Bella,2014-09-19 13:27:00,Return_to_owner,,Dog,Spayed,Female,1 year,Pit Bull Mix,,,2014,9,19,Blue,,
A699563,Ash,2015-04-07 18:23:00,Return_to_owner,,Dog,Spayed,Female,6 years,Pit Bull Mix,,,2015,4,7,Chocolate,White,
A554865,Pepe,2015-01-12 00:00:00,Transfer,Partner,Dog,Neutered,Male,6 years,Chihuahua Shorthair,,,2015,1,12,White,,
A670416,Pancho,2014-01-08 16:45:00,Return_to_owner,,Dog,Neutered,Male,2 years,Miniature Poodle,Bichon Frise,,2014,1,8,White,,
A693833,Kyzer,2014-12-24 11:15:00,Return_to_owner,,Dog,Neutered,Male,7 years,Pit Bull Mix,,,2014,12,24,Black,White,
A698705,Rico,2015-12-10 13:14:00,Adoption,Foster,Dog,Neutered,Male,2 years,Labrador Retriever Mix,,,2015,12,10,Black,White,
A665251,Fayah,2013-10-20 13:03:00,Transfer,Partner,Dog,Spayed,Female,6 months,Pit Bull Mix,,,2013,10,20,Brown,Tricolor,
A677664,Joey,2014-05-08 16:46:00,Adoption,,Dog,Intact,Male,2 months,Greater Swiss Mountain Dog Mix,,,2014,5,8,Tricolor,White,
A705886,Prume,2015-07-08 17:57:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2015,7,8,Black,,
A693546,Nebula,2014-12-15 18:26:00,Adoption,,Dog,Spayed,Female,1 year,Great Pyrenees,English Setter,,2014,12,15,White,Black,
A666184,Buster,2013-11-11 16:37:00,Adoption,,Cat,Neutered,Male,3 months,Domestic Shorthair Mix,,,2013,11,11,Black,White,
A676098,Cato,2014-04-28 18:01:00,Adoption,,Dog,Neutered,Male,2 years,Queensland Heeler Mix,,,2014,4,28,Red,Red Tick,
A686700,Archie,2014-08-30 12:38:00,Adoption,,Dog,Neutered,Male,7 months,Smooth Fox Terrier Mix,,,2014,8,30,White,Brown,
A677483,,2014-04-27 12:25:00,Transfer,Partner,Cat,Intact,Female,4 weeks,Domestic Shorthair Mix,,,2014,4,27,Black,,
A625400,Chuy,2014-04-27 12:19:00,Return_to_owner,,Dog,Neutered,Male,3 years,Pit Bull Mix,,,2014,4,27,White,Brown,
A706228,Rico,2015-06-27 15:16:00,Transfer,Partner,Dog,Intact,Male,2 years,Shetland Sheepdog,,,2015,6,27,Tricolor,,
A552342,Passion,2014-01-06 17:23:00,Transfer,Partner,Dog,Spayed,Female,4 years,Cocker Spaniel,,,2014,1,6,Black,,
A702982,,2015-05-19 18:48:00,Transfer,Partner,Cat,Unknown,,2 weeks,Domestic Shorthair Mix,,,2015,5,19,Brown Tabby,White,
A664339,Trey,2013-12-24 15:18:00,Transfer,Partner,Cat,Neutered,Male,4 months,Domestic Medium Hair,,,2013,12,24,Black,,
A680804,,2014-06-08 12:18:00,Euthanasia,Suffering,Cat,Intact,Male,7 years,Domestic Shorthair Mix,,,2014,6,8,Black,White,
A677815,Jack,2014-05-03 12:17:00,Transfer,Partner,Dog,Neutered,Male,3 years,Jack Russell Terrier Mix,,,2014,5,3,Tricolor,,
A689616,Vincent,2014-10-11 18:33:00,Adoption,,Cat,Neutered,Male,2 years,Domestic Longhair Mix,,,2014,10,11,Black Smoke,,
A708761,Ottie,2015-08-05 16:11:00,Transfer,Partner,Cat,Intact,Female,1 month,Domestic Shorthair Mix,,,2015,8,5,Orange Tabby,,
A670822,Dexter,2014-02-15 14:18:00,Adoption,,Dog,Neutered,Male,2 years,American Staffordshire Terrier Mix,,,2014,2,15,Brown Brindle,White,
A690633,Jackson,2014-11-05 12:44:00,Adoption,,Dog,Neutered,Male,1 year,Flat Coat Retriever Mix,,,2014,11,5,Black,Brown,
A705411,Shadow,2015-06-25 11:13:00,Transfer,Partner,Dog,Neutered,Male,7 years,Weimaraner,,,2015,6,25,Blue,,
A701662,Kokis,2015-05-05 11:35:00,Return_to_owner,,Dog,Neutered,Male,2 years,Miniature Poodle,,,2015,5,5,White,,
A705806,,2015-06-24 15:15:00,Transfer,Partner,Dog,Intact,Male,2 months,Labrador Retriever Mix,,,2015,6,24,Black,White,
A697055,Megatron,2015-02-17 15:06:00,Adoption,,Dog,Spayed,Female,3 years,Dachshund,Chihuahua Shorthair,,2015,2,17,Red,,
A683576,Buffy,2014-07-17 16:01:00,Transfer,Partner,Dog,Intact,Female,3 years,Chihuahua Shorthair,Cairn Terrier,,2014,7,17,White,,
A689382,,2014-10-08 18:41:00,Adoption,,Dog,Spayed,Female,7 months,Cairn Terrier Mix,,,2014,10,8,Silver,,
A687296,,2014-09-14 12:23:00,Euthanasia,Aggressive,Dog,Intact,Female,4 years,Carolina Dog Mix,,,2014,9,14,Tan,White,
A711491,,2015-09-14 13:36:00,Transfer,Partner,Dog,Intact,Male,1 month,Plott Hound Mix,,,2015,9,14,Brown,Black,
A664177,,2013-10-06 13:38:00,Transfer,Partner,Dog,Intact,Male,5 months,Labrador Retriever,Basset Hound,,2013,10,6,Chocolate,,
A682224,Chloe,2014-06-25 18:26:00,Return_to_owner,,Dog,Spayed,Female,8 years,Labrador Retriever Mix,,,2014,6,25,Chocolate,,
A666680,,2013-11-08 15:52:00,Transfer,SCRP,Cat,Unknown,,10 months,Domestic Shorthair Mix,,,2013,11,8,Blue Tabby,,
A687183,,2014-09-07 19:01:00,Adoption,,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2014,9,7,Black,White,
A704847,,2015-06-10 09:00:00,Transfer,SCRP,Cat,Intact,Male,3 years,Domestic Shorthair Mix,,,2015,6,10,Black,,
A671188,Junie,2014-02-14 17:09:00,Adoption,Foster,Dog,Spayed,Female,1 month,Australian Cattle Dog Mix,,,2014,2,14,Tricolor,,
A675670,Fletcher,2014-04-19 13:25:00,Adoption,,Dog,Neutered,Male,8 months,Australian Cattle Dog Mix,,,2014,4,19,Black,White,
A665281,Marley,2013-10-28 14:55:00,Euthanasia,Aggressive,Dog,Neutered,Male,2 years,Labrador Retriever Mix,,,2013,10,28,White,,
A709629,,2015-08-16 18:17:00,Adoption,,Dog,Neutered,Male,2 years,Redbone Hound Mix,,,2015,8,16,Red,,
A673265,,2014-02-22 19:08:00,Transfer,SCRP,Cat,Unknown,,1 year,Domestic Shorthair Mix,,,2014,2,22,Orange Tabby,,
A712585,Edith,2016-01-07 11:18:00,Adoption,Foster,Cat,Spayed,Female,3 months,Domestic Shorthair Mix,,,2016,1,7,Cream Tabby,White,
A696858,Olive Oil,2015-02-13 15:03:00,Euthanasia,Suffering,Dog,Intact,Female,4 months,Pit Bull Mix,,,2015,2,13,Blue,White,
A715901,,2015-12-14 19:18:00,Transfer,SCRP,Cat,Neutered,Male,2 years,Domestic Shorthair Mix,,,2015,12,14,Black Tabby,White,
A699738,Wrinkle,2015-04-27 18:31:00,Return_to_owner,,Cat,Neutered,Male,6 years,Domestic Shorthair Mix,,,2015,4,27,Black,White,
A664887,Gia,2013-11-10 16:56:00,Adoption,,Cat,Spayed,Female,3 months,Domestic Shorthair Mix,,,2013,11,10,Black,,
A685464,Coby,2014-08-08 13:09:00,Return_to_owner,,Dog,Neutered,Male,9 years,Pit Bull,Boxer,,2014,8,8,Brown,Black,
A690615,Jayme,2014-10-23 15:27:00,Return_to_owner,,Dog,Intact,Female,13 years,Border Collie Mix,,,2014,10,23,Tricolor,Black,
A663977,Katy,2013-10-10 16:54:00,Transfer,Partner,Cat,Intact,Female,2 months,Domestic Shorthair Mix,,,2013,10,10,Silver Tabby,,
A680439,,2014-06-02 20:06:00,Transfer,Partner,Cat,Unknown,,3 days,Domestic Shorthair Mix,,,2014,6,2,Cream,,
A674445,Seymore,2014-07-14 17:08:00,Adoption,,Dog,Neutered,Male,1 year,Pointer Mix,,,2014,7,14,Black,,
A700299,,2015-04-11 17:39:00,Transfer,Partner,Cat,Intact,Female,2 days,Domestic Shorthair Mix,,,2015,4,11,Tortie,,
A676907,Sandy,2014-06-22 17:08:00,Transfer,Partner,Dog,Spayed,Female,2 years,Pit Bull,,,2014,6,22,Brown,,
A672437,Midnight,2014-04-27 15:30:00,Return_to_owner,,Dog,Spayed,Female,4 months,American Pit Bull Terrier Mix,,,2014,4,27,Black,White,
A678577,Lucy,2014-05-10 18:31:00,Return_to_owner,,Dog,Spayed,Female,5 years,Australian Shepherd Mix,,,2014,5,10,Blue Merle,,
A717863,Lucky,2015-12-20 00:00:00,Transfer,Partner,Dog,Intact,Male,3 years,German Shepherd Mix,,,2015,12,20,Brown,,
A673497,,2014-02-25 11:30:00,Euthanasia,Suffering,Cat,Intact,Male,1 year,Domestic Medium Hair Mix,,,2014,2,25,Orange Tabby,White,
A693189,Julius,2014-12-07 19:05:00,Adoption,,Cat,Neutered,Male,3 months,Domestic Shorthair Mix,,,2014,12,7,Cream Tabby,White,
A678259,,2014-05-06 16:58:00,Transfer,Partner,Cat,Intact,Female,3 weeks,Domestic Shorthair Mix,,,2014,5,6,Black,,
A695071,Rebel,2015-01-12 00:00:00,Transfer,Partner,Dog,Neutered,Male,3 years,Miniature Pinscher,,,2015,1,12,Red,,
A681439,,2014-06-17 09:00:00,Transfer,SCRP,Cat,Intact,Male,2 years,Domestic Shorthair Mix,,,2014,6,17,Orange Tabby,,
A685961,,2014-08-19 08:22:00,Transfer,Partner,Cat,Intact,Male,6 days,Domestic Shorthair Mix,,,2014,8,19,Black,,
A684302,,2014-07-25 18:08:00,Adoption,,Dog,Neutered,Male,2 months,Miniature Pinscher,Chihuahua Shorthair,,2014,7,25,Tricolor,,
A681983,,2014-06-23 09:00:00,Transfer,SCRP,Cat,Spayed,Female,8 years,Domestic Shorthair Mix,,,2014,6,23,Blue,,
A688241,Bishop,2014-09-27 16:49:00,Transfer,Partner,Dog,Intact,Male,1 year,Pointer Mix,,,2014,9,27,White,Tan,
A679630,Bella,2014-05-24 14:06:00,Died,,Dog,Spayed,Female,10 months,Chihuahua Longhair Mix,,,2014,5,24,White,,
A682211,,2014-06-29 17:16:00,Adoption,,Dog,Spayed,Female,6 months,Australian Shepherd Mix,,,2014,6,29,Black,White,
A693725,Batman,2014-12-23 16:29:00,Transfer,Partner,Dog,Intact,Male,3 years,Boston Terrier,,,2014,12,23,Black,White,
A677330,Millie,2014-08-04 11:28:00,Transfer,Partner,Dog,Spayed,Female,2 years,Pit Bull Mix,,,2014,8,4,White,Tan,
A710019,Hoffy,2015-08-24 13:43:00,Transfer,Partner,Cat,Intact,Male,4 months,Domestic Shorthair Mix,,,2015,8,24,Blue Tabby,White,
A674343,Misty,2014-03-15 12:13:00,Transfer,Partner,Dog,Spayed,Female,3 years,Bruss Griffon,Chihuahua Shorthair,,2014,3,15,Brown,Tan,
A713384,,2015-10-07 09:00:00,Transfer,SCRP,Cat,Intact,Female,2 years,Domestic Shorthair Mix,,,2015,10,7,Brown Tabby,White,
A669308,,2013-12-18 19:04:00,Euthanasia,Suffering,Dog,Intact,Female,2 months,Pit Bull Mix,,,2013,12,18,Tan,White,
A708471,Peanut,2015-08-25 09:53:00,Adoption,Offsite,Cat,Neutered,Male,3 months,Domestic Shorthair Mix,,,2015,8,25,Cream Tabby,,
A673202,,2014-02-21 13:32:00,Transfer,SCRP,Cat,Unknown,,6 months,Domestic Shorthair Mix,,,2014,2,21,Black Tabby,,
A714168,,2015-10-19 12:06:00,Euthanasia,Suffering,Dog,Intact,Male,6 months,Labrador Retriever Mix,,,2015,10,19,Black,White,
A686879,,2014-08-28 14:06:00,Transfer,Partner,Cat,Intact,Female,4 days,Domestic Shorthair Mix,,,2014,8,28,Black,White,
A699802,,2015-04-19 15:50:00,Adoption,Foster,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,4,19,Blue Tabby,,
A719539,Melindra,2016-01-29 18:48:00,Transfer,Partner,Cat,Intact,Female,1 week,Domestic Longhair Mix,,,2016,1,29,Blue Tabby,,
A684811,Scout,2015-11-18 18:32:00,Return_to_owner,,Dog,Neutered,Male,9 years,Labrador Retriever,Border Collie,,2015,11,18,Black,White,
A685585,Storm,2014-08-12 11:29:00,Transfer,Partner,Dog,Spayed,Female,8 months,Siberian Husky,,,2014,8,12,Black,White,
A686704,Molly,2014-08-30 16:21:00,Adoption,,Dog,Spayed,Female,5 years,Chihuahua Shorthair,Dachshund,,2014,8,30,Chocolate,White,
A710887,Jj,2015-10-08 12:22:00,Adoption,Foster,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,10,8,Black,,
A700980,Cassie,2015-04-28 00:00:00,Transfer,Partner,Dog,Spayed,Female,2 months,Carolina Dog Mix,,,2015,4,28,Tan,,
A710086,Niko,2015-08-30 00:00:00,Transfer,Partner,Dog,Neutered,Male,2 years,Chihuahua Shorthair Mix,,,2015,8,30,White,Black,
A682221,Yogi,2014-08-03 19:00:00,Adoption,,Dog,Neutered,Male,6 years,Great Pyrenees Mix,,,2014,8,3,White,,
A705128,Margie,2015-08-12 10:56:00,Transfer,Partner,Dog,Spayed,Female,2 years,Catahoula,Australian Cattle Dog,,2015,8,12,White,Brown,
A648168,Rusty,2016-02-04 15:00:00,Adoption,Foster,Dog,Neutered,Male,9 years,Chihuahua Shorthair Mix,,,2016,2,4,Tan,,
A679699,Jake,2014-06-01 17:20:00,Adoption,,Dog,Neutered,Male,3 years,Jack Russell Terrier Mix,,,2014,6,1,White,Tan,
A718487,Zeke,2016-01-16 15:16:00,Adoption,,Dog,Neutered,Male,1 year,German Shepherd Mix,,,2016,1,16,Brown,Black,
A713798,Olaf,2015-10-18 16:10:00,Adoption,,Cat,Neutered,Male,10 years,Domestic Longhair,,,2015,10,18,Flame Point,,
